method,pv_level,seed,success,rmse,missing_ratio,runtime_ms,objective_value,n_matched,residual_raw,residual_trimmed,solver,combo,cfg_max_match_dist_factor,cfg_min_match_ratio,cfg_allow_forward_fallback,cfg_n_starts,cfg_n_icp_iter,cfg_lambda_reg,cfg_trim_ratio
asm,2.5,20260211,False,0.15379060558413413,0.0,9385.796526446939,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16403.457296080887,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4186.781561933458,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13794.115603901446,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2812.072985805571,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c10,1.0,0.02,True,80,40,0.001,0.9
asm,0.5,20260210,False,1.2296912481932434,0.0,21479.626392945647,39.303184509277344,269,42.835262298583984,39.303184509277344,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,0.5,20260211,True,0.03963635967027993,0.0,19766.544304788113,48.548309326171875,9624,54.38410186767578,48.548309326171875,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,1.5,20260210,True,0.08030990934436655,0.0,18238.473603501916,36.01316833496094,3427,40.219932556152344,36.01316833496094,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,1.5,20260211,True,0.09148629311263487,0.0,13444.042764604092,49.357627868652344,4638,53.32352828979492,49.357627868652344,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,2.5,20260210,True,0.1482588081035867,0.0,18952.715477906168,46.03790283203125,5506,50.00637435913086,46.03790283203125,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,2.5,20260211,False,0.15379060558413413,0.0,9547.449493780732,50.3649787902832,3251,54.22881317138672,50.3649787902832,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,3.5,20260210,False,0.2076227506246008,0.0,16243.257851339877,47.794891357421875,4929,51.92963790893555,47.794891357421875,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,3.5,20260211,False,0.2110236140558656,0.0,4198.168714530766,50.23469924926758,1580,55.31764221191406,50.23469924926758,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,4.5,20260210,False,0.2665296225898582,0.0,13738.959638401866,49.424713134765625,4144,53.339534759521484,49.424713134765625,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
asm,4.5,20260211,False,0.2744334667168714,0.0,2812.9994105547667,52.47411346435547,1344,56.57341003417969,52.47411346435547,asm_icp_gpu,c11,1.0,0.02,False,80,40,0.001,0.9
